asn,category,tags
103,Academic/Edu,"Academic|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Community Groups and Nonprofits"
104,Academic/Edu,"Academic|Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
105,Other,"Phone Provider|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology"
106,ISP,Validating RPKI ROV|Electronics and Computer Components|Internet Service Provider (ISP)|Service
107,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
108,Other,"Computer and Information Technology|Media, Publishing, and Broadcasting|Print Media (Newspapers, Magazines, Books)|Retail Stores, Wholesale, and E-commerce Sites"
109,ISP,Tranco 10k Host|Not Validating RPKI ROV|Software Development|Electronics and Computer Components
110,Other,Health Care Services|Hospitals and Medical Centers
111,Academic/Edu,"Tranco 10k Host|Not Validating RPKI ROV|Education and Research|Colleges, Universities, and Professional Schools"
112,ISP,Content|Validating RPKI ROV|Computer and Information Technology|Community Groups and Nonprofits
113,Other,Other
114,ISP,Internet Service Provider (ISP)|Computer and Information Technology
115,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
116,ISP,"Internet Service Provider (ISP)|Computer and Information Technology|Law, Business, and Consulting Services|Service"
117,Other,Software Development|Computer and Information Technology
118,ISP,Internet Service Provider (ISP)|Computer and Information Technology
119,Academic/Edu,"Service|Media, Publishing, and Broadcasting|Print Media (Newspapers, Magazines, Books)|Education and Research"
120,Other,"Computer and Information Technology|Museums, Libraries, and Entertainment|Software Development"
121,ISP,Computer and Information Technology|Internet Service Provider (ISP)
122,Other,Manufacturing|Validating RPKI ROV|Hospitals and Medical Centers|Health Care Services
123,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
124,Government,"Government and Public Administration|Military, Defense, National Security, and International Affairs"
125,Academic/Edu,Computer and Information Technology|Validating RPKI ROV|Education and Research|Manufacturing
126,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
127,Academic/Edu,Government|Not Validating RPKI ROV|Education and Research|Research and Development Organizations
128,Enterprise,"Law, Business, and Consulting Services|Service"
129,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
130,Other,"Retail Stores, Wholesale, and E-commerce Sites"
131,Academic/Edu,"Colleges, Universities, and Professional Schools|Validating RPKI ROV|Government and Regulatory Agencies, Administrations, Departments, and Services|Education and Research"
132,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
133,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
134,Other,Computer and Information Technology
135,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
136,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
393344,ISP,Automotive and Transportation|Search|Manufacturing|Computer and Information Technology
138,ISP,Government|Computer and Information Technology|Internet Service Provider (ISP)
139,Other,Manufacturing|Health Care Services
140,ISP,Computer and Information Technology|Internet Service Provider (ISP)
141,Other,Manufacturing|Health Care Services
142,ISP,Internet Service Provider (ISP)|Computer and Information Technology
143,ISP,Computer and Information Technology|Internet Service Provider (ISP)
144,ISP,Manufacturing|Software Development|Electronics and Computer Components|Computer and Information Technology
145,ISP,Computer and Network Security|Internet Service Provider (ISP)|Computer and Information Technology
146,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
147,ISP,Government|Internet Service Provider (ISP)|Computer and Information Technology
148,Other,Manufacturing|Health Care Services
149,ISP,Internet Service Provider (ISP)|Computer and Information Technology
150,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
151,ISP,Electronics and Computer Components|Validating RPKI ROV|Manufacturing|Internet Service Provider (ISP)
152,ISP,Internet Service Provider (ISP)|Software Development|Computer and Network Security|Computer and Information Technology
153,ISP,Internet Service Provider (ISP)|Computer and Information Technology
154,ISP,Internet Service Provider (ISP)|Computer and Information Technology
155,Government,"Military, Defense, National Security, and International Affairs|Government and Public Administration"
156,Academic/Edu,"Tranco 10k Host|Not Validating RPKI ROV|Colleges, Universities, and Professional Schools|Education and Research"
157,ISP,Validating RPKI ROV|Service|Software Development|Internet Service Provider (ISP)
158,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Phone Provider|Electronics and Computer Components
