asn,category,tags
205141,Other,"Construction and Real Estate|Retail Stores, Wholesale, and E-commerce Sites"
49495,ISP,Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)
205147,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
205149,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Software Development
57694,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Software Development|VPN Host
49504,ISP,Internet Service Provider (ISP)|Computer and Information Technology
57696,ISP,Computer and Information Technology|Internet Service Provider (ISP)
205156,Other,"Freight, Shipment, and Postal Services"
24935,ISP,Computer and Information Technology|Hosting and Cloud Provider|Internet Service Provider (ISP)
8554,ISP,Server Hosting|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
205167,Other,"Media, Publishing, and Broadcasting|Service"
41332,ISP,Internet Service Provider (ISP)|Computer and Information Technology
8565,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
41334,ISP,Internet Service Provider (ISP)|Computer and Information Technology
206859,ISP,Internet Service Provider (ISP)|Computer and Information Technology
24954,Other,"Manufacturing|Food, Beverage, and Tobacco"
213372,Unknown,
205181,Other,Real Estate (Residential and/or Commercial)|Construction and Real Estate|Not Validating RPKI ROV
49537,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Software Development|Service
49540,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Eyeball
57734,Other,"Community Groups and Nonprofits|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
213382,Content/CDN,"Education and Research|Media, Publishing, and Broadcasting|Online Informational Content|Server Hosting"
49553,Academic/Edu,Education and Research
213394,ISP,"Online Informational Content|Media, Publishing, and Broadcasting|Software Development|Law, Business, and Consulting Services"
49555,Other,Travel and Accommodation|Air Travel|Automotive and Transportation|Manufacturing
197014,Other,"Casinos and Gambling|Museums, Libraries, and Entertainment"
206865,ISP,Internet Service Provider (ISP)|Computer and Information Technology
57752,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
41370,ISP,"Computer and Information Technology|Software Development|Internet Service Provider (ISP)|Media, Publishing, and Broadcasting"
24990,ISP,Computer and Information Technology|Internet Service Provider (ISP)
49566,ISP,Computer and Information Technology|Internet Service Provider (ISP)
205215,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Hosting and Cloud Provider
213412,Unknown,
197033,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
205225,Other,Community Groups and Nonprofits
206869,ISP,Internet Service Provider (ISP)|Computer and Information Technology
197036,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
49584,Other,"Media, Publishing, and Broadcasting|Music and Video Industry"
25009,ISP,Internet Service Provider (ISP)|Computer and Information Technology
213432,Unknown,
49594,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Eyeball
8635,ISP,Internet Service Provider (ISP)|Manufacturing|Software Development|Electronics and Computer Components
41405,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
197056,Other,Construction and Real Estate|Buildings (Residential or Commercial)
41410,ISP,Computer and Network Security|Software Development|Computer and Information Technology|Hosting and Cloud Provider
206874,ISP,Internet Service Provider (ISP)|Hosting and Cloud Provider|Software Development|Computer and Information Technology
57797,ISP,Software Development|Computer and Information Technology|Internet Service Provider (ISP)
205259,ISP,Computer and Information Technology|Internet Service Provider (ISP)
205263,Other,"Finance and Insurance|Computer and Information Technology|Other|Investment, Portfolio Management, Pensions and Funds"
57809,ISP,Eyeball|Computer and Information Technology|Internet Service Provider (ISP)
49619,ISP,Internet Service Provider (ISP)|Computer and Information Technology
197076,ISP,Internet Service Provider (ISP)|Phone Provider|Computer and Information Technology
49623,Other,Computer and Information Technology|Software Development
197081,Other,"Construction and Real Estate|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Not Validating RPKI ROV"
213466,Unknown,
25057,Other,Community Groups and Nonprofits
8677,Other,Validating RPKI ROV|Computer and Information Technology|Finance and Insurance|Service
57839,ISP,Computer and Information Technology|Internet Service Provider (ISP)
41459,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Technology Consulting Services
205304,Other,Health Care Services|Personal ASN|IPv6 only
205305,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider|IPv6 only|Content
197114,ISP,Education and Research|Internet Service Provider (ISP)|Computer and Information Technology|Software Development
205306,ISP,"Service|Internet Service Provider (ISP)|Computer and Information Technology|Law, Business, and Consulting Services"
57855,Other,Software Development|Computer and Information Technology
41473,Other,"Online Music and Video Streaming Services|Radio and Television Providers|Media, Publishing, and Broadcasting|Not Validating RPKI ROV"
205319,Academic/Edu,"Colleges, Universities, and Professional Schools|Education and Research|Not Validating RPKI ROV"
197133,ISP,VPN Host|Internet Service Provider (ISP)|Computer and Information Technology|Not Validating RPKI ROV
213517,Unknown,
197138,ISP,Service|Insurance Carriers and Agencies|Finance and Insurance
8723,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
57877,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Not Validating RPKI ROV
49688,Other,"Validating RPKI ROV|Civil Engineering Construction (Utility Lines, Roads and Bridges)|Construction and Real Estate"
25113,ISP,Internet Service Provider (ISP)|Computer and Information Technology
49689,ISP,Computer and Information Technology|Internet Service Provider (ISP)|IPv6 only
49690,Other,Real Estate (Residential and/or Commercial)|Construction and Real Estate|Manufacturing
49692,Enterprise,"Law, Business, and Consulting Services|Service"
25117,Eyeball,Eyeball|Computer and Information Technology|Software Development|Technology Consulting Services
