country_code,as_count,prefix_count,ixp_count,facility_count
PW,4,14,0,0
PY,114,3007,3,8
QA,28,3159,2,5
RE,7,97,1,0
RO,1131,11740,6,32
RS,201,6278,1,9
RU,5855,52311,40,80
RW,30,794,1,1
SA,203,14459,5,19
SB,11,56,0,0
SC,112,6822,0,0
SD,13,397,1,1
SE,889,8364,22,50
SG,791,25351,11,38
SI,306,3884,1,10
SK,234,2035,4,5
SL,22,95,0,2
SM,13,115,0,0
SN,22,348,1,1
SO,24,192,0,1
SR,7,493,1,0
SS,23,96,0,0
ST,2,32,0,0
SV,60,3532,0,0
SX,4,71,1,1
SY,11,519,0,0
SZ,13,108,0,0
TC,2,68,0,0
TD,18,70,1,0
TG,11,200,1,1
TH,619,13339,12,31
TJ,41,296,1,1
TK,3,15,0,0
TL,20,130,0,0
TM,8,29,0,0
TN,29,3427,1,0
TO,5,28,0,0
TR,1100,32548,5,39
TT,18,521,2,4
TV,3,7,0,0
TW,474,14692,8,15
TZ,120,3697,7,15
UA,2053,12469,24,49
UG,65,742,1,2
US,32447,379146,198,1114
UY,51,1119,0,1
UZ,125,672,1,2
VA,4,10,0,0
VC,5,50,1,0
VE,270,8651,4,5
VG,56,428,1,0
VI,13,159,0,0
VN,1045,29027,3,10
VU,14,343,1,1
WF,1,14,0,0
WS,11,72,0,0
YE,6,2119,0,0
YT,3,23,0,0
ZA,854,13295,11,24
ZM,24,4300,1,2
ZW,35,2407,1,0
ZZ,5767,7974,0,0
