src,dst
34019,212793
24429,60171
3257,137753
14537,137753
680,4134
4608,132203
24482,137753
58299,199310
37497,45102
24482,210426
4455,132203
25091,210426
924,205369
132203,263152
55967,199938
63956,146762
35266,45102
4134,40065
31027,153725
199310,202782
9929,10099
3223,146762
57344,132203
35280,55967
139799,264409
24429,31500
10111,140227
1267,45102
4134,17676
8888,216299
24429,58453
18403,45102
9002,55967
14907,55967
139317,153371
24429,47957
132203,262589
553,132203
45102,198385
12859,55967
18106,55967
14840,153725
207705,211575
3212,55967
835,205794
21412,132203
199310,215172
6939,151673
2914,4837
212793,394256
132203,210937
4229,55967
999,24429
10111,58952
17433,211729
45896,132203
34854,151673
1273,4837
34549,45102
8359,55967
49544,140633
58717,146762
4134,45489
50629,199932
14840,213605
24429,60602
34854,199392
24429,36924
9808,133865
4635,24429
24429,33891
10099,45102
139317,210352
24429,25152
132203,204092
6939,204211
5713,55967
55720,55967
55967,64475
24429,207705
52320,153725
24482,38345
24516,146762
24429,200242
51185,133865
4809,35710
24429,25394
204092,209650
47498,205794
8298,199932
5405,45102
3491,132203
41051,153725
39120,142111
34854,204211
7720,151673
16552,55967
39642,55967
7195,132203
4134,29208
24429,150000
24429,45489
36994,132203
25091,199932
4230,4837
4134,39249
14537,146762
58057,153725
4538,132337
139317,211575
38001,55967
8455,132203
6939,211729
1239,9929
34927,132203
4134,14537
49544,142111
4837,35598
4608,10111
7720,200936
45102,45352
4842,9002
4134,7195
132203,272403
34854,211729
55967,264479
8283,45102
38345,39120
8758,45102
53808,209294
4809,56665
8298,205369
25220,153725
7497,7575
45102,394256
48919,55967
24429,29208
10111,132337
1764,153725
45796,132203
4134,4538
45489,142111
28910,45102
205369,216182
45102,48185
4837,9505
17660,45102
1836,4134
8888,200959
139317,209294
44324,205369
58299,209650
2914,55967
2518,55967
6424,55967
207705,213605
24429,57463
37468,142111
139799,264479
4837,20485
38880,55967
64475,153725
4842,45796
10111,38001
55967,198385
9902,133865
151673,216182
204092,212793
9498,132203
7720,211729
35708,211575
24429,198150
62167,209650
32590,55967
35625,153725
4134,4230
4837,51184
58511,132203
200242,209294
3320,4134
29049,139799
4837,30781
24429,53062
45102,52320
51185,212164
4809,9498
37100,209650
13030,45102
45701,137753
8529,153725
4837,12956
37271,132203
3462,45102
3491,10111
31500,132203
63956,132203
139317,153725
12779,45102
24429,41666
204211,216182
3223,132203
139317,401835
32590,151673
4134,9304
4842,18106
44324,139317
53808,213605
51184,55967
32590,199392
4134,58299
153725,213241
51185,216299
45102,137409
51185,142111
24429,50673
18678,24429
8298,45102
10111,20473
58299,207303
19754,132203
47957,132203
57463,213605
58299,212793
139317,213605
1828,153725
955,133865
14840,209650
553,55967
4134,42473
32590,204211
1299,9929
25091,45102
23673,55967
139317,150289
34872,202782
58717,132203
62167,212793
4641,38345
3214,199392
10111,51185
6939,134578
24429,58057
53808,199310
45102,55329
4826,10111
200242,213605
24429,59238
24429,134823
24961,132203
153725,198249
24516,132203
45896,55967
10099,137753
50629,202782
38008,45102
139317,199310
4837,31133
45102,132337
35280,134578
9929,17676
13786,24429
37100,212793
20932,45102
29049,45102
4538,35280
7497,140627
9498,10111
9002,134578
24429,199938
4809,40065
7768,132203
20473,209650
212635,213605
32590,211729
10111,45629
24429,42473
55967,140227
41666,209294
9002,146834
45102,49544
7768,202782
6453,24429
6057,24429
35598,132203
6057,139799
61573,139799
34428,45102
22356,45102
14537,132203
45102,47692
33891,146762
45701,146762
4134,21320
21859,146834
9318,63631
207303,210352
999,4837
35708,150289
49544,63631
559,24429
1239,132203
10111,35280
24482,202782
34177,45102
7195,55967
20764,45102
45102,133210
10111,199524
153371,153725
3223,10111
34288,153725
4809,45489
955,140633
12956,45102
6939,140633
18678,45102
34927,153725
3320,4809
139317,215956
4635,63631
4842,58511
14537,146834
17290,210426
8966,55967
55720,146834
199392,200242
45102,57304
4637,45102
14840,24429
29691,55967
24429,64475
20562,24429
14840,139799
4837,56665
210426,210937
35280,140633
8426,45102
207303,212635
2734,45102
36236,142111
55967,137409
4134,264479
3462,4837
4826,55967
57050,150289
7720,210352
17639,45102
60326,209650
34854,212164
60539,209650
45102,138997
64049,209650
34927,151673
24429,206356
41666,213605
64475,209650
24429,150369
34927,199392
13786,45102
24429,24516
24429,47147
4134,22356
4809,14537
15802,146762
35625,209650
3333,209650
6939,142111
133210,133865
4134,198385
146762,151326
58511,153725
51185,205794
202782,206499
1273,132203
24429,264479
34927,200936
7470,132203
15547,24429
37721,45102
34854,216299
28716,55967
34927,204211
55967,132337
1299,4538
4764,132203
293,7497
41666,199310
57695,209650
199073,199310
4134,29632
139317,207314
212164,213151
24429,37282
10111,24115
7497,18106
1239,10111
4538,7713
32590,134578
213605,215172
6663,132203
57050,205794
286,4837
24429,198385
150289,211509
41051,212164
7497,32590
10111,23673
4635,38345
200242,209650
139317,212483
34927,211729
4134,146788
55967,133210
4230,132203
57344,209650
47957,153725
1764,24429
60539,212793
64049,212793
1764,4134
30781,132203
48362,132203
57777,132203
24429,63927
58299,200959
36236,150289
64475,212793
24429,29632
17660,146762
51185,210426
29208,132203
205369,209022
45102,59105
1828,4842
4608,133865
4837,9808
4837,9929
29140,132203
7497,49544
4775,10111
207303,213605
9044,24429
31510,45102
12859,153725
17290,205369
25160,45102
7713,45102
3303,4134
4809,9304
24961,153725
3333,24429
51087,139317
45102,62167
8218,45102
38255,38272
701,4837
57050,210426
33891,132203
57695,212793
45701,132203
60171,153725
40271,132203
139317,207303
39351,132203
4637,4837
34872,151673
7768,55967
24429,37271
38195,55967
60144,199392
24429,140627
32590,140633
8529,24429
34872,199392
4538,7473
37497,132203
24429,212024
151673,206499
10111,45701
139799,271253
207705,216299
24482,55967
4134,8426
25091,55967
200242,207303
45102,48919
1267,132203
24429,45352
200242,212793
18403,132203
41095,63631
4134,6453
153371,209650
50869,209294
45102,45899
34872,204211
199310,210352
134823,137753
45352,55967
45102,56987
134578,142271
3356,45102
7768,151673
4809,61292
38008,55967
1828,24429
4134,52320
8888,132203
7768,199392
680,45102
24429,48185
35661,205794
20932,55967
51185,199932
7497,55720
35360,132203
9808,24400
24429,262589
39120,45102
8888,202782
24482,151673
34549,132203
4780,45102
6939,7497
55329,132203
7720,199310
24482,199392
10099,132203
2500,45102
4775,55967
34872,211729
4842,41095
7768,204211
28917,45102
132203,205112
53808,139317
211729,213605
15802,132203
34854,205794
4538,24482
7721,211575
200242,212164
6204,45102
4837,8455
57050,199932
4809,7575
198150,209650
24429,52320
8966,134578
24429,45796
3741,45102
1239,204211
45796,133865
8966,146834
4842,36236
6453,137753
917,209650
58511,209650
45629,146762
24429,49434
10111,24482
207529,210352
7768,211729
34019,132203
4455,142111
7721,209294
200242,216299
4134,32590
45102,48237
37468,45102
24429,52025
24429,137409
4134,6939
63927,146762
174,7497
24482,211729
58511,133865
4809,199524
8758,132203
134578,134823
34854,210426
39386,45102
134823,146762
4621,133865
1140,45102
38855,211575
45102,45701
7473,38345
999,132203
17660,132203
6663,153725
50869,199310
4134,49544
4134,18403
205369,211509
9808,56040
13237,55967
31133,45102
24429,32590
4134,47692
56665,209650
142111,262589
4635,132203
30781,153725
48362,153725
55967,56987
6762,45102
57777,153725
3214,4809
10111,58511
17639,146762
7721,153725
24429,29691
37721,55967
7721,401835
4809,63927
4837,57344
34927,212164
10099,10111
132203,200242
29140,55967
14630,24429
209294,212635
14907,209650
6939,38345
4809,18678
917,212793
58511,212793
12859,209650
4842,8359
45102,60924
24429,49544
3212,209650
23764,24429
4538,17639
4837,9304
4134,29075
13030,132203
