asn,CAIDA ASRank,APNIC eyeball estimates (CN),IHR country ranking: Total eyeball (CN),IHR country ranking: Total AS (CN),CrUX top 1M (CN)
140486,54093,50,,,
142433,54093,,,,
24357,54093,,,,
134413,54093,,,,
146758,54093,,,,
205610,54093,,,,
146802,54093,,,,
137710,54093,,,,
23840,54093,,,,
146746,54093,,,,
154010,54093,,,,
139090,54093,,,,
63654,54093,,,,
136146,54093,,,,
139179,54093,,,,
137759,54093,,,,
139182,54093,,,,
139118,54093,,,,
139141,54093,,,,
214439,54093,,,,
63583,54093,,,,
137719,54093,,,,
136769,54093,,,,
150374,54093,,,,
135040,54093,,,,
151277,54093,,,,
139266,54093,,,,
146810,54093,,,,
151313,54093,,,,
9401,54093,,,,
142611,54093,,,,
151311,54093,,,,
63696,54093,,,,
213404,54093,,,,
137755,54093,,,,
24349,59014,,,,
209650,59078,,,,
139799,59201,,,,
139888,59473,,,,
213625,59627,,,,
199310,59627,,,,
137758,59627,,,,
209294,59627,,,,
205651,59812,,,,
7721,59812,,,,
209306,59812,,,,
44421,59812,,,,
214575,59812,,,,
210041,60658,,,,
199392,60658,,,,
63829,60658,,,,
139136,60658,,,,
7653,60658,,,,
205027,60658,,,,
209218,60658,,,,
139178,60658,,,,
146822,60658,,,,
151464,60658,,,,
7609,60658,,,,
63697,67211,,,,
211265,67211,,,,
24415,67211,,,,
63538,67211,,,,
139073,67211,,,,
146771,67211,,,,
9392,67211,,,,
151284,67211,,,,
59034,67211,,,,
131541,67211,,,,
134169,67211,,,,
153633,67211,,,,
199406,67211,,,,
139767,67211,,,,
58777,67211,,,,
38340,67211,,,,
45073,67211,,,,
213605,67211,,,,
133846,67211,,,,
18245,67211,,,,
24302,67211,,,,
133194,67211,,,,
215786,67211,,,,
149793,67211,,,,
63727,67211,,,,
23851,67211,,,,
138457,67211,,,,
133555,67211,,,,
50922,67211,,,,
214899,67211,,,,
10981,67211,,,,
203236,67211,,,,
139183,67211,,,,
17442,67211,,,,
63722,67211,,,,
147008,67211,,,,
135006,67211,,,,
212164,67211,,,,
51928,67211,,,,
146813,67211,,,,
209574,67211,,,,
58571,67211,,,,
