probe_id,cc,asn,lon,lat
1007035,,37963,,
1007036,,37963,,
1007037,,37963,,
1007038,,37963,,
1007039,,37963,,
1007040,,37963,,
1007041,,37963,,
1007042,,37963,,
1007043,,37963,,
1007044,,37963,,
1007045,,37963,,
1007046,,37963,,
1007047,,37963,,
1007048,,37963,,
1007049,,37963,,
1007050,,37963,,
1007051,,37963,,
1007052,,37963,,
1007053,,37963,,
1007054,,37963,,
1007055,,37963,,
1007056,,37963,,
1007057,,37963,,
1007058,,37963,,
1007059,,37963,,
1007060,,37963,,
1007061,,37963,,
1007062,,37963,,
1007063,,37963,,
1007064,,37963,,
1007065,,37963,,
1007066,,37963,,
1007067,,37963,,
1007068,,37963,,
1007069,,37963,,
1007070,,37963,,
1007071,,37963,,
1007072,,37963,,
1007073,,37963,,
1007074,,37963,,
1007075,,37963,,
1007076,,37963,,
1007077,,37963,,
1007078,,37963,,
1007079,,37963,,
1007080,,37963,,
1007081,,37963,,
1007082,,37963,,
1007083,,37963,,
1007084,,37963,,
1007085,,37963,,
1007086,,37963,,
1007087,,37963,,
1007088,,37963,,
1007089,,37963,,
1007090,,37963,,
1007091,,37963,,
1007092,,37963,,
1007093,,37963,,
1007097,,37963,,
1007098,,37963,,
1007099,,37963,,
1007100,,37963,,
1007101,,37963,,
1007102,,37963,,
1007103,,37963,,
1007104,,37963,,
1007105,,37963,,
1007106,,37963,,
1007107,,37963,,
1007108,,37963,,
1007109,,37963,,
1007110,,37963,,
1007111,,37963,,
1007112,,37963,,
1007113,,37963,,
1007114,,37963,,
1007115,,37963,,
1007116,,37963,,
1007117,,37963,,
1007118,,37963,,
1007119,,37963,,
1007120,,37963,,
1007121,,37963,,
1007122,,37963,,
1007123,,37963,,
1007124,,37963,,
1007125,,37963,,
1007126,,37963,,
1007127,,37963,,
1007128,,37963,,
1007129,,37963,,
1007130,,37963,,
1007131,,37963,,
1007132,,37963,,
1007133,,37963,,
1007134,,37963,,
1007135,,37963,,
1007136,,37963,,
1007137,,37963,,
1007138,,37963,,
1007139,,37963,,
1007140,,37963,,
1007141,,37963,,
1007142,,37963,,
1007148,,4538,,
1007148,,23910,,
1007210,,45090,,
1007211,,132203,,
1007216,,45090,,
1007219,,4538,,
1007268,,37963,,
1007329,,45090,,
1007330,,45090,,
1007331,,45090,,
1007332,,45090,,
1007333,,45090,,
1007334,,45090,,
1007740,,9808,,
1007740,,9808,,
1007770,,45102,,
1007770,,4837,,
1007813,,37963,,
1007890,,9808,,
1007899,,9808,,
1007927,,45102,,
1008244,,45090,,
1008380,,45102,,
1008486,,45102,,
1008776,,140292,,
1008776,,140292,,
1008778,,45102,,
1008925,,37963,,
1008925,,37963,,
1009136,,37963,,
1009137,,37963,,
1009138,,37963,,
1009139,,37963,,
1009140,,37963,,
1009141,,37963,,
1009142,,37963,,
1009143,,37963,,
1009144,,45102,,
1009145,,45102,,
1009146,,45102,,
1009147,,45102,,
1009148,,45102,,
1009249,,4134,,
1009249,,4134,,
1009250,,9808,,
1009250,,9808,,
1009251,,56042,,
1009252,,9808,,
1009252,,9808,,
1009253,,9808,,
1009253,,9808,,
1009254,,24400,,
1009272,,9808,,
1009273,,9808,,
1009273,,9808,,
1009274,,9808,,
1009274,,9808,,
1009275,,9808,,
1009287,,4837,,
1009287,,4837,,
1009288,,17968,,
1009289,,9808,,
1009289,,9808,,
1009290,,4837,,
1009290,,4837,,
1009291,,4837,,
1009291,,4837,,
1009292,,4837,,
1009292,,4837,,
1009293,,9808,,
1009293,,9808,,
1009294,,4134,,
1009294,,4134,,
1009295,,4837,,
1009295,,4837,,
1009296,,58563,,
1009296,,58563,,
1009297,,4134,,
1009297,,4134,,
1009298,,56041,,
1009298,,56041,,
1009299,,56045,,
1009300,,56046,,
1009301,,4837,,
1009301,,4837,,
1009302,,9808,,
1009302,,9808,,
1009303,,9808,,
1009304,,4837,,
1009304,,4837,,
1009305,,38019,,
1009306,,56048,,
1009306,,56048,,
1009307,,134810,,
1009307,,134810,,
1009308,,4837,,
1009308,,4837,,
1009355,,215007,,
1009360,,215007,,
1009381,,55990,,
1009382,,55990,,
1009383,,55990,,
1009384,,55990,,
1009387,,45090,,
