src,dst,hege
45102,6453,0.1317894131312081
45102,6939,0.10828788883214298
45102,3356,0.06144367681678703
45102,3491,0.14455126558614276
45102,174,0.058923197541556595
45110,6939,1.0
45110,3491,0.3238467261904762
45110,6939,0.13748204022988506
45110,3356,0.07663690476190477
45110,131314,0.8733258928571429
45113,1299,0.16666666666666666
45113,6939,0.08333333333333333
45275,3491,0.23863636363636365
45275,1299,0.14772727272727273
45275,6939,0.26136363636363635
45275,20473,1.0
45275,2914,0.1590909090909091
45576,6939,1.0
49904,174,0.09090909090909091
49904,23961,1.0
49904,6939,0.18181818181818182
49904,137409,1.0
50922,6939,0.19696969696969696
50922,62553,0.6363636363636362
50922,174,0.07575757575757575
50922,137409,1.0
50922,63473,0.36363636363636354
50922,62553,1.0
50922,137409,1.0
51928,20473,1.0
51928,2914,0.0625
51928,3491,0.0625
55468,1299,0.08333333333333333
55641,3491,0.10606060606060605
55641,6939,0.4393939393939394
55786,26512,1.0
55786,397325,1.0
55786,174,1.0
55786,1299,0.10416666666666667
55956,13335,1.0
55960,58453,0.5147058823529412
55960,3356,0.1109625668449198
55960,6939,0.4024064171122994
55960,3356,0.061926934097421206
55960,58453,0.2500358166189112
55960,1299,0.06326408787010507
55966,6939,0.36363636363636365
55966,3356,0.09090909090909091
55966,1299,0.08854166666666667
55967,6453,0.22727272727272727
55967,6939,0.5
55967,2914,0.13636363636363635
55967,2914,0.24314877408278193
55967,6453,0.3427360045661965
55967,6939,0.11849839574873415
55971,1299,0.0625
55971,3356,0.08333333333333333
55982,1299,0.08333333333333333
55990,3356,0.09424767327464738
55990,6939,0.5363636363636364
55990,3356,0.08636363636363636
55990,1299,0.12147350626316372
55990,6939,0.06105571195150725
55992,6939,0.2727272727272727
55992,3356,0.6363636363636364
55992,1299,0.3181818181818182
55992,36678,1.0
55992,1299,0.3208448623930135
55992,36678,0.8098640377185683
55992,3356,0.44988124262301427
55992,23764,0.18702110059789864
55996,3257,0.11431372446997445
55996,3356,0.055101495726495725
55996,131274,0.9006879405316907
55996,2914,0.3063235375735376
55996,7473,0.07376295579420579
55996,6939,0.42576919608169606
55996,6453,0.07969721250971251
56000,6939,0.057291666666666664
56000,3356,0.0625
56000,1299,0.11458333333333333
56002,6939,0.0625
56002,174,0.08333333333333333
56002,1299,0.10416666666666667
56002,6939,0.36363636363636365
56003,1299,0.10416666666666667
56003,174,0.08333333333333333
56003,3356,0.08333333333333333
56004,6939,1.0
56005,1299,0.08349358974358974
56006,6939,0.36363636363636365
56006,1299,0.08333333333333333
56012,58453,0.0625
56012,6939,0.055989583333333336
56012,1299,0.057291666666666664
56013,1299,0.08333333333333333
56019,6939,0.0625
56019,1299,0.08333333333333333
56040,3356,0.08181818181818182
56040,58807,0.10000000000000003
56040,6939,0.41737012987012984
56040,58453,0.9103896103896104
56040,58453,0.9938645639385696
56040,3356,0.27511703272201976
56041,58453,0.9960839900057661
56041,6939,0.44903180857197766
56041,3356,0.09052469729002498
56041,3356,0.2940742796417492
56041,58453,0.9956363129064737
56042,6939,0.43237250554323725
56042,3356,0.08647450110864745
56042,58453,0.9552845528455287
56042,3356,0.2926056952531529
56042,58453,0.9963466680728627
56044,3356,0.09018006852810381
56044,58453,0.9928555806663263
56044,6939,0.410002187067143
56044,58453,0.9945735003623281
56044,3356,0.24743568215319225
56045,3356,0.2835273038041795
56045,6939,0.4269053010329104
56045,3356,0.08798960791888612
56045,58453,0.9760825162822745
56045,58453,0.9974611520331752
56046,58453,0.9951795114449634
56046,6939,0.41470988348021526
56046,3356,0.0904359141184125
56046,3356,0.24215010428815517
56046,58453,0.9962467024437262
56047,6939,0.4434143619000372
56047,58453,0.9882797966017612
56047,3356,0.08979288106163959
56047,58453,0.9959853906409295
56047,3356,0.27527162471595085
56048,174,0.08448616600790514
56048,3356,0.08695652173913043
56048,6939,0.3885869565217392
56048,58453,0.959486166007905
56048,58453,0.9972898047781263
56048,3356,0.24433871026713985
56282,6939,0.0625
56282,58453,1.0
56282,3356,0.27777777777777773
58026,53667,1.0
58026,6939,0.9791666666666666
58448,3356,0.06666666666666667
58448,174,0.08125
58448,1299,0.075
58448,6453,0.056818181818181816
58448,6762,0.10227272727272728
58448,1299,0.14204545454545456
58448,6939,0.18181818181818182
58461,1299,0.08268459542344891
58466,6939,0.4090909090909091
58466,1299,0.0820055503245714
58517,2914,0.16666666666666666
58517,3356,0.7708333333333334
58518,3356,0.6291666666666667
58518,2914,0.12083333333333333
58518,1299,0.125
58519,3356,0.05882352941176471
58519,6939,0.44802807486631013
58519,1299,0.08699494290670318
58536,6939,0.36363636363636365
58536,3356,1.0
58536,10099,0.3971354166666667
58536,19174,0.2556423611111111
58536,174,0.15364583333333334
58536,3356,0.2682291666666667
58539,6939,0.4090909090909091
58539,1299,0.08333333333333333
58540,3356,0.07670454545454546
58540,6939,0.5028409090909091
58540,1299,0.08647088353413655
58541,6939,0.4090909090909091
58541,1299,0.08446382428940569
58542,3356,0.05454545454545454
58542,6939,0.43636363636363634
58542,1299,0.0862814465408805
58543,6939,0.4090909090909091
58543,1299,0.08333333333333333
58563,6939,0.4246753246753247
58563,3356,0.05064935064935065
58563,1299,0.08517156862745097
58571,1299,0.08333333333333333
58571,6939,0.4090909090909091
58593,8075,0.75
58593,6939,0.23863636363636365
58593,8075,0.9989694001770696
58772,6939,0.4090909090909091
58772,1299,0.08333333333333333
58777,6939,0.4090909090909091
58777,3356,0.0906784188034188
58777,23764,0.9178018162393163
58811,174,0.05454545454545454
58811,174,0.05833333333333334
58811,3356,0.06649305555555556
58811,58453,0.1958333333333333
58811,6939,0.5545454545454546
58828,3356,0.13636363636363635
58828,58453,1.0
58828,6453,0.09090909090909091
58828,6939,0.45454545454545453
58834,6939,0.4090909090909091
58834,1299,0.09027777777777779
58834,174,0.0528637144879183
58834,6939,0.050844990538715974
58850,1299,0.09375
58851,3356,0.2069366852886406
58851,174,0.07934131736526946
58851,58453,1.0
58854,1299,0.125
58854,3356,0.10416666666666667
58854,6939,0.0625
58862,58453,0.5
58862,3356,0.11458333333333333
58862,174,0.052083333333333336
58866,1299,0.08333333333333333
58866,58453,1.0
58866,3356,0.13636363636363635
58866,6939,0.45454545454545453
58866,6453,0.09090909090909091
59009,1299,0.07738095238095238
59011,3356,0.20833333333333334
59011,58453,1.0
59011,174,0.08333333333333333
59012,58453,1.0
59012,6939,0.4090909090909091
59012,6453,0.09090909090909091
59012,3356,0.13636363636363635
59012,3356,0.22395833333333334
59012,6939,0.0625
59012,1299,0.10416666666666667
59019,174,0.07032694500725191
59019,6939,0.4541161203403766
59019,1299,0.08323820395738203
59019,174,0.053021327014218
59029,1299,0.08333333333333333
59029,6939,0.4090909090909091
59034,174,0.10416666666666667
59034,3356,0.10416666666666667
59034,1299,0.10416666666666667
59037,1299,0.125
59037,6939,0.1038510101010101
59037,3356,0.1038510101010101
59043,3356,1.0
59043,134196,1.0
59045,174,0.10416666666666667
59045,15412,0.10416666666666667
59045,9304,1.0
59045,6939,0.0625
59049,1299,0.08333333333333333
59067,1299,0.08333333333333333
59067,174,0.05555555555555555
59068,1299,0.08333333333333333
59073,6939,0.5075757575757576
59073,1299,0.08333333333333333
59074,174,0.08333333333333333
59074,6939,0.0625
59074,1299,0.13541666666666666
