asn,hostname_count,ip_count,country,org_name,org_tags
149178,217,99,CN,China Telecom,"Media, Publishing, and Broadcasting|Music and Video Industry|Museums, Libraries, and Entertainment"
38019,216,134,CN,China Mobile,Eyeball|Validating RPKI ROV|Computer and Information Technology
59019,216,170,CN,"Beijing Kingsoft Cloud Internet Technology Co., Ltd","Content|Software Development|Military, Defense, National Security, and International Affairs"
134761,216,99,CN,CHINANET NINGXIA province ZHONGWEI IDC network,Computer and Information Technology|Not Validating RPKI ROV|Internet Service Provider (ISP)
141679,213,138,CN,China Telecom,"Tranco 10k Host|Music and Video Industry|Media, Publishing, and Broadcasting"
56282,212,48,CN,"Beijing Internet Harbor Technology Co., Ltd",Computer and Information Technology|Internet Service Provider (ISP)
24360,209,167,CN,CERNET2 IX at Zhengzhou University,IPv6 only|Validating RPKI ROV|Computer and Information Technology
58543,209,30,CN,Guangdong,Computer and Information Technology|Not Validating RPKI ROV|Internet Service Provider (ISP)
134774,204,126,CN,CHINANET Guangdong province Shenzhen MAN network,Tranco 10k Host|Not Validating RPKI ROV|Home ISP
24358,198,145,CN,CERNET2 IX at Huazhong University of Science and Technology,"Colleges, Universities, and Professional Schools|Not Validating RPKI ROV|Education and Research"
56045,196,93,CN,China Mobile Communications Corporation,Anycast|Internet Service Provider (ISP)|Computer and Information Technology
138407,192,118,CN,China Mobile Communications Corporation,Computer and Information Technology|Internet Service Provider (ISP)
63648,178,37,CN,"Beijing Xiaoju Science and Technology Co., Ltd.",Tranco 10k Host|Manufacturing|Hosting and Cloud Provider
24363,176,147,CN,CERNET2 IX at Shandong University,"Colleges, Universities, and Professional Schools|Validating RPKI ROV|Education and Research"
17623,174,124,CN,China Unicom,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)
140717,172,74,CN,China Unicom,"Media, Publishing, and Broadcasting|Not Validating RPKI ROV|Computer and Information Technology"
24353,170,116,CN,CERNET2 IX at Xi'an Jiaotong University,"Colleges, Universities, and Professional Schools|Validating RPKI ROV|Education and Research"
63593,165,96,CN,HeyTap PTE.LTD.,Manufacturing|Phone Provider|Electronics and Computer Components
23650,161,89,CN,China Telecom,Content|Not Validating RPKI ROV|Hosting and Cloud Provider
9389,151,16,CN,BEIJING SHENZHOU GREATWALL COMMUNICATION,Government|Not Validating RPKI ROV|Internet Service Provider (ISP)
132510,149,51,CN,China Mobile Communications Corporation,Eyeball|Internet Service Provider (ISP)|Computer and Information Technology
132147,148,8,CN,China Telecom,Internet Service Provider (ISP)|Computer and Information Technology
152711,148,19,CN,"Suike Information Technology SiChuan Co., Ltd","Computer and Information Technology|Hosting, Cloud Provider, Data Center, Server Colocation"
138950,137,63,CN,China Telecom,Tranco 10k Host|Not Validating RPKI ROV|Internet Service Provider (ISP)
140105,132,39,CN,China Mobile Communications Corporation,Internet Service Provider (ISP)|Computer and Information Technology
137702,129,69,CN,China Telecom,Tranco 10k Host|Not Validating RPKI ROV|Internet Service Provider (ISP)
136195,127,79,CN,"Qingdao, Shandong Province, P.R.China.",Content|Computer and Information Technology|Internet Service Provider (ISP)
17622,126,99,CN,China Unicom,Eyeball|Not Validating RPKI ROV|Computer and Information Technology
4809,123,89,CN,China Telecom Next Generation Carrier Network,Carrier|Validating RPKI ROV|Computer and Information Technology
24359,122,90,CN,CERNET2 IX at Central South University,IPv6 only|Not Validating RPKI ROV|Computer and Information Technology
135089,119,34,CN,China Telecom,"Manufacturing|Service|Law, Business, and Consulting Services"
24356,111,78,CN,CERNET2 IX at Chongqing University,IPv6 only|Not Validating RPKI ROV|Education and Research
59025,103,59,CN,"Beijing Sankuai Cloud Computing Co.,Ltd.","Media, Publishing, and Broadcasting|Computer and Information Technology|Online Informational Content"
134543,100,52,CN,China Unicom,Eyeball|Not Validating RPKI ROV|Computer and Information Technology
