asn,target_type,test_name,detection_count
24400,Tag,ooni.whatsapp,1
24400,Tag,ooni.vanillator,1
24400,Tag,ooni.torsf,1
24400,IP,ooni.tor,22
24400,Tag,ooni.telegram,1
24400,URL,ooni.stunreachability,13
24400,Tag,ooni.psiphon,1
24400,Tag,ooni.osignal,1
24400,Tag,ooni.httpinvalidrequestline,1
24400,Tag,ooni.httpheaderfieldmanipulation,1
24444,Tag,ooni.facebookmessenger,1
24444,Tag,ooni.whatsapp,1
24444,IP,ooni.tor,22
24444,Tag,ooni.telegram,1
24444,URL,ooni.stunreachability,7
24444,Tag,ooni.psiphon,1
24444,Tag,ooni.osignal,1
24444,Tag,ooni.httpinvalidrequestline,1
24444,Tag,ooni.httpheaderfieldmanipulation,1
45102,Tag,ooni.facebookmessenger,2
45102,Tag,ooni.whatsapp,2
45102,Tag,ooni.vanillator,2
45102,IP,ooni.tor,44
45102,Tag,ooni.telegram,2
45102,URL,ooni.stunreachability,21
45102,Tag,ooni.psiphon,2
45102,Tag,ooni.osignal,2
45102,Tag,ooni.httpinvalidrequestline,2
45102,Tag,ooni.httpheaderfieldmanipulation,2
45576,IP,ooni.tor,22
45576,Tag,ooni.httpinvalidrequestline,1
56041,Tag,ooni.whatsapp,1
56044,Tag,ooni.facebookmessenger,1
56044,Tag,ooni.whatsapp,1
56044,IP,ooni.tor,22
56044,Tag,ooni.telegram,1
56044,URL,ooni.stunreachability,8
56044,Tag,ooni.psiphon,1
56044,Tag,ooni.osignal,1
56044,Tag,ooni.httpinvalidrequestline,1
56044,Tag,ooni.httpheaderfieldmanipulation,1
56045,Tag,ooni.facebookmessenger,1
56045,Tag,ooni.whatsapp,1
56045,URL,ooni.stunreachability,7
56045,Tag,ooni.osignal,1
56046,Tag,ooni.facebookmessenger,1
56046,Tag,ooni.whatsapp,1
56046,Tag,ooni.vanillator,1
56046,IP,ooni.tor,22
56046,Tag,ooni.telegram,1
56046,URL,ooni.stunreachability,8
56046,Tag,ooni.psiphon,1
56046,Tag,ooni.osignal,1
56046,Tag,ooni.httpinvalidrequestline,1
56046,Tag,ooni.httpheaderfieldmanipulation,1
56048,Tag,ooni.facebookmessenger,1
56048,Tag,ooni.whatsapp,1
56048,IP,ooni.tor,22
56048,Tag,ooni.telegram,1
56048,URL,ooni.stunreachability,7
56048,Tag,ooni.psiphon,1
56048,Tag,ooni.osignal,1
56048,Tag,ooni.httpinvalidrequestline,1
56048,Tag,ooni.httpheaderfieldmanipulation,1
132203,Tag,ooni.httpheaderfieldmanipulation,1
132203,Tag,ooni.vanillator,1
132203,IP,ooni.tor,22
132203,Tag,ooni.telegram,1
132203,URL,ooni.stunreachability,8
132203,Tag,ooni.psiphon,1
132203,Tag,ooni.httpinvalidrequestline,1
134762,Tag,ooni.facebookmessenger,1
134762,Tag,ooni.whatsapp,1
134762,IP,ooni.tor,22
134762,Tag,ooni.telegram,1
134762,Tag,ooni.psiphon,1
134762,Tag,ooni.osignal,1
