asn,facility,country
207299,Equinix OS1 - Osaka,JP
140682,Chief HD Building Taipei,TW
151194,STE Network -  SHDC,CN
42962,Equinix SY3 - Sydney,AU
138365,Hurricane Electric Fremont 1,US
4134,"Equinix FR4 - Frankfurt, West",DE
202335,1530 SWIFT - NOCIX,US
212793,1530 SWIFT - NOCIX,US
55967,China Mobile International - GNC Hong Kong,HK
42962,"Equinix ML2 - Milan, Savona",IT
42962,Equinix TR1 - Toronto,CA
42962,Moscow M9,RU
24429,Moscow M9,RU
4809,SmartHub Fujairah,AE
42962,SmartHub Fujairah,AE
45102,"Equinix FR6 - Frankfurt, West",DE
42962,EdgeConneX Miami (EDCMIA01),US
42962,CTM,MO
9394,HKCOLO - Sino Favour Centre,HK
24429,Cirion Buenos Aires - BUE1,AR
45102,NTT Cyberjaya Data Center (CBJ),MY
24429,"Equinix AM4 - Amsterdam, Science Park",NL
42962,Equinix MB1 - Mumbai (GPX Mumbai 1),IN
10111,OpenColo,US
140682,MEGA Gateway (iAdvantage Hong Kong),HK
55967,MEGA Gateway (iAdvantage Hong Kong),HK
139317,MEGA Gateway (iAdvantage Hong Kong),HK
45102,STT Quezon City (Formerly QC2),PH
42962,Equinix TY3 - Tokyo,JP
24144,Equinix SH5 - Shanghai,CN
10111,Equinix SH5 - Shanghai,CN
131530,Equinix SH5 - Shanghai,CN
63959,Equinix SG3 - Singapore,SG
10111,Equinix SG3 - Singapore,SG
132203,Equinix SG3 - Singapore,SG
45102,Equinix SG3 - Singapore,SG
55967,Equinix SG3 - Singapore,SG
24429,Equinix SG3 - Singapore,SG
45102,STT Bangkok 1,TH
24429,Equinix CH3 - Elk Grove,US
45102,CoreSite - Reston (VA2),US
55967,CoreSite - Reston (VA2),US
204211,Equinix TY9 - Tokyo,JP
45102,Equinix TY4 - Tokyo,JP
10111,Equinix TY7 - Tokyo,JP
55967,Equinix TY7 - Tokyo,JP
133865,MEGA Plus (iAdvantage Hong Kong),HK
135426,MEGA-i (iAdvantage Hong Kong),HK
202335,MEGA-i (iAdvantage Hong Kong),HK
4809,MEGA-i (iAdvantage Hong Kong),HK
10111,MEGA-i (iAdvantage Hong Kong),HK
4837,MEGA-i (iAdvantage Hong Kong),HK
63959,MEGA-i (iAdvantage Hong Kong),HK
23911,MEGA-i (iAdvantage Hong Kong),HK
7586,MEGA-i (iAdvantage Hong Kong),HK
137813,MEGA-i (iAdvantage Hong Kong),HK
133952,MEGA-i (iAdvantage Hong Kong),HK
45587,MEGA-i (iAdvantage Hong Kong),HK
24429,MEGA-i (iAdvantage Hong Kong),HK
45102,MEGA-i (iAdvantage Hong Kong),HK
9394,MEGA-i (iAdvantage Hong Kong),HK
42962,CoreSite - New York (NY1),US
24429,C21,IT
207299,Equinix HK2 - Hong Kong,HK
202335,Equinix HK2 - Hong Kong,HK
213404,Equinix HK2 - Hong Kong,HK
154155,Equinix HK2 - Hong Kong,HK
210634,Equinix HK2 - Hong Kong,HK
45102,Equinix HK2 - Hong Kong,HK
24429,Equinix HK2 - Hong Kong,HK
132203,Equinix HK2 - Hong Kong,HK
42962,Equinix HK2 - Hong Kong,HK
149057,Equinix HK2 - Hong Kong,HK
63959,Equinix HK2 - Hong Kong,HK
205532,Equinix HK2 - Hong Kong,HK
10111,Equinix HK2 - Hong Kong,HK
42962,"Equinix WA1 - Warsaw, Centrum LIM",PL
4837,FiberNet Telecom Group - 60 Hudson St,US
10111,GDS Shanghai,CN
149057,GDS Shanghai,CN
131530,GDS Shanghai,CN
42962,COLT DC London,GB
45102,NTT Jakarta 2 Data Center (JKT2),ID
10111,TOWNGAS TELECOM DATA CENTRE 2,HK
7586,TOWNGAS TELECOM DATA CENTRE 2,HK
4809,"Africa Data Centres, Nairobi NBO1, Kenya",KE
138365,Tech Futures YVR1,CA
153725,Equinix TY8 - Tokyo,JP
201705,Equinix TY8 - Tokyo,JP
149057,Equinix TY8 - Tokyo,JP
215750,Equinix TY8 - Tokyo,JP
24429,Equinix TY8 - Tokyo,JP
9384,Equinix TY8 - Tokyo,JP
63959,Equinix TY8 - Tokyo,JP
24429,Ascenty SPO04  - São Paulo,BR
7586,MEGA Two (iAdvantage Hong Kong),HK
132203,MEGA Two (iAdvantage Hong Kong),HK
63959,MEGA Two (iAdvantage Hong Kong),HK
137813,MEGA Two (iAdvantage Hong Kong),HK
10111,Equinix SG1 - Singapore,SG
131285,Equinix SG1 - Singapore,SG
133865,Equinix SG1 - Singapore,SG
4837,Equinix SG1 - Singapore,SG
24429,Equinix DE2 - Denver,US
