asn,degree,betweenness,eigenvector,pagerank,rank_degree,rank_betweenness,rank_eigenvector,rank_pagerank
139080,6.867660188173888e-05,3.434028967731852e-05,2.4420535253375984e-07,1.8515145899150337e-05,15237,3925,77118,6441
199310,0.00038916741066318705,5.752167539819268e-06,0.000846751505884074,1.813714693948696e-05,6624,9760,10361,6627
24406,0.00012590710344985464,3.017099905785353e-06,7.02549272604747e-05,1.8069556858960974e-05,11642,10963,30779,6659
24490,0.00018313760501797037,7.964928245683294e-06,6.327760275165097e-05,1.7818097171363513e-05,9881,9208,33468,6784
17428,0.00010301490282260833,3.2259983712959036e-05,4.255611163255258e-05,1.7778990734210862e-05,12615,4044,41153,6799
140056,8.012270219536204e-05,1.1446231328335146e-05,1.9420432664106823e-07,1.766026342288908e-05,14140,7904,77791,6869
24348,6.867660188173888e-05,2.318143582416739e-05,4.987101465567118e-06,1.7543522210880564e-05,15240,4745,63912,6925
58461,9.156880250898518e-05,2.3030537906385366e-05,1.7536379548049036e-05,1.7501677853270545e-05,13292,4796,51678,6947
38283,0.00011446100313623148,1.6617449324397978e-05,1.805450133676592e-05,1.702483834477321e-05,12094,5713,51480,7179
24444,8.012270219536204e-05,2.289720305609867e-05,2.9148787292889983e-07,1.6989634522350667e-05,14148,4938,76593,7205
209300,0.00011446100313623148,0.025065647129205854,0.0003541580886288227,1.6907871818542227e-05,12096,14,14011,7252
134578,0.000309044708467825,2.0233628312325343e-05,0.0019738857034571973,1.678459285003465e-05,7593,5352,7521,7314
17622,9.156880250898518e-05,2.6994076373246817e-05,9.170045225882516e-06,1.665943219726999e-05,13300,4352,58060,7371
55966,8.012270219536204e-05,7.00265572751306e-08,1.796604933108842e-07,1.6272181451917523e-05,14157,22488,77996,7560
55996,0.00018313760501797037,0.000582513072463621,0.0008676364329953065,1.6263266195831264e-05,9894,695,10278,7563
142667,3.433830094086944e-05,0.0,3.022188569002468e-09,1.52827536065582e-05,22494,38635,82259,8072
59078,8.012270219536204e-05,2.440741686982216e-07,1.679320463584422e-07,1.526146903799654e-05,14176,18171,78083,8085
204211,0.00033193690909507126,0.00023318683201702957,0.0018093898590124942,1.5191196729570437e-05,7330,1556,7914,8124
216299,0.00036627521003594073,2.759261510093538e-06,0.0018359791540718097,1.5181958456155495e-05,6941,11152,7841,8130
131486,6.867660188173888e-05,1.1780478483657905e-05,2.4310695505598705e-07,1.5131523901355298e-05,15265,6816,77131,8164
139799,0.0004463979122313028,5.922068312029018e-09,0.0043143436696284,1.5097382987380928e-05,5964,31441,4366,8180
142665,3.433830094086944e-05,0.0,3.022188588765233e-09,1.503716017065661e-05,22495,38637,82257,8217
142668,3.433830094086944e-05,0.0,3.022178054720536e-09,1.5007643241067946e-05,22496,38638,82260,8232
142663,3.433830094086944e-05,0.0,3.0221885887653027e-09,1.5006060472475394e-05,22497,38639,82249,8235
142661,3.433830094086944e-05,0.0,3.0221885887653027e-09,1.5002542761716391e-05,22498,38640,82250,8237
142659,3.433830094086944e-05,0.0,3.0221885887653027e-09,1.5002305075526429e-05,22499,38641,82251,8238
142658,3.433830094086944e-05,0.0,3.0221885887653027e-09,1.5002305075526429e-05,22500,38642,82252,8239
142660,3.433830094086944e-05,0.0,3.0221885887653027e-09,1.5002305075526429e-05,22501,38643,82253,8240
142662,3.433830094086944e-05,0.0,3.0221885887653027e-09,1.5002193397076058e-05,22502,38644,82254,8242
142657,3.433830094086944e-05,0.0,3.0221885887653027e-09,1.5001972314860485e-05,22503,38645,82255,8243
142656,3.433830094086944e-05,0.0,3.0221885887653308e-09,1.5001552111996473e-05,22504,38646,82248,8244
142664,3.433830094086944e-05,0.0,3.0221885887653023e-09,1.5000509678778834e-05,22505,38647,82256,8245
142655,3.433830094086944e-05,0.0,3.022188588780317e-09,1.4995673316933927e-05,22506,38648,82247,8246
142666,3.433830094086944e-05,0.0,3.0221885887286313e-09,1.4990360178536126e-05,22507,38649,82258,8249
142654,3.433830094086944e-05,0.0,3.0221885968290505e-09,1.49853123757166e-05,22508,38650,82246,8251
142653,3.433830094086944e-05,0.0,3.022192896986459e-09,1.4915588836010083e-05,22509,38651,82245,8288
9814,8.012270219536204e-05,1.219775825643641e-06,3.071885550463931e-07,1.4890732298441287e-05,14180,13238,76475,8301
150289,0.000309044708467825,1.7332723080655452e-06,0.0009537721010508883,1.4867582894526526e-05,7613,12226,10009,8313
142652,3.433830094086944e-05,0.0,3.0244982370639485e-09,1.4768755902491825e-05,22513,38652,82241,8376
151673,0.00033193690909507126,1.5252662439035173e-05,0.0017260997413222588,1.4722843657094718e-05,7339,5890,8120,8394
200936,0.000309044708467825,1.8652469230363547e-06,0.0009576714337420439,1.4471912612219921e-05,7616,12068,9998,8525
142651,3.433830094086944e-05,0.0,4.257579466014007e-09,1.4044238442130018e-05,22516,38657,82121,8762
137753,0.000309044708467825,1.8075314269500572e-07,0.0023791195272255335,1.4025794124288259e-05,7621,19143,6672,8778
139138,9.156880250898518e-05,0.0001576434595569156,0.0001538083886593353,1.39993019250788e-05,13340,1817,20016,8800
23848,8.012270219536204e-05,7.398706784530385e-06,8.336764550554991e-06,1.3961703101000255e-05,14198,9334,59087,8829
24409,9.156880250898518e-05,3.843923015265031e-05,6.249490924973059e-05,1.3611146782141262e-05,13352,3614,34504,9038
136958,8.012270219536204e-05,1.6405750172708288e-05,8.261393119726057e-06,1.3456566235094492e-05,14213,5736,59150,9141
56006,6.867660188173888e-05,5.541152229934303e-08,1.4665710861444276e-07,1.3179437080100468e-05,15301,23228,78389,9321
211575,0.0002632603072133324,1.8316929446344865e-06,0.0007671039000709794,1.3136656100163742e-05,8288,12097,10704,9346
137735,6.867660188173888e-05,4.41261260936534e-06,8.58350525532321e-06,1.3052844414507187e-05,15305,10258,58850,9393
210352,0.0002403681065860861,1.2143073976286323e-06,0.00015102814617458694,1.2989448477097951e-05,8672,13249,20141,9437
9809,6.867660188173888e-05,6.290651517585462e-08,1.3659483211298193e-07,1.2939301748492291e-05,15308,22832,78545,9464
63631,0.00027470640752695554,6.161023219154876e-08,0.0021441571850171655,1.28630000863131e-05,8135,22888,7160,9534
134774,8.012270219536204e-05,3.5594347895114204e-05,2.76808398670775e-05,1.2784996921124658e-05,14235,3757,47417,9577
38345,0.0002403681065860861,1.2154874656727218e-06,0.0017125774525820537,1.2726742762643356e-05,8677,13246,8163,9605
138371,4.578440125449259e-05,1.716934699250272e-05,4.975964305977279e-06,1.2725406661737705e-05,18733,5652,63937,9607
17623,6.867660188173888e-05,2.2289844063027456e-05,9.080477275703393e-06,1.270255710671495e-05,15316,5162,58148,9632
141425,6.867660188173888e-05,1.6063330124140133e-06,4.981058667531572e-07,1.2535393128175209e-05,15324,12424,74914,9735
137801,6.867660188173888e-05,2.87030888857703e-08,2.0014111262110337e-07,1.2465349267853016e-05,15327,25712,77709,9779
142650,3.433830094086944e-05,2.0654331940503795e-06,6.648051826495682e-07,1.2323861778456618e-05,22537,11836,74129,9859
211729,0.00029759860815420185,1.3219046704430651e-06,0.0017901204547265245,1.2300979888353529e-05,7823,13031,7961,9878
24239,5.723050156811574e-05,0.023502846147776927,0.0001961206714202779,1.223512434535356e-05,16773,16,17222,9921
205369,0.00027470640752695554,6.310687562859434e-07,0.0009932057198883586,1.201401554272866e-05,8154,15262,9903,10072
24151,0.00011446100313623148,6.0062234705254755e-06,0.00012369182885216894,1.199839965399812e-05,12173,9686,23327,10082
58536,8.012270219536204e-05,2.686442630501745e-05,0.000133439694825319,1.190419109204617e-05,14264,4362,21917,10155
38019,5.723050156811574e-05,1.7695626702374774e-07,2.2984573179534298e-07,1.1860502885260959e-05,16785,19206,77378,10197
56012,5.723050156811574e-05,5.864939817434294e-06,8.300516683716948e-06,1.1845971371952042e-05,16786,9723,59120,10213
205794,0.000309044708467825,2.048631235332385e-07,0.0018630421127310004,1.1816278884580688e-05,7664,18734,7774,10232
45079,6.867660188173888e-05,3.5927784966788796e-06,9.040670749130412e-06,1.174222714327479e-05,15364,10611,58225,10284
59073,5.723050156811574e-05,7.998424631645143e-08,1.6463839158910743e-07,1.1668819988194447e-05,16794,22035,78100,10354
142669,2.2892200627246296e-05,0.0,3.01653262707431e-09,1.1532918346519117e-05,30957,38671,82264,10475
139148,5.723050156811574e-05,1.4095484589468228e-07,1.4078666997879556e-07,1.150794202297865e-05,16798,20010,78483,10493
137758,5.723050156811574e-05,1.4095484589468228e-07,1.4078666997879556e-07,1.150794202297865e-05,16799,20011,78484,10494
23771,4.578440125449259e-05,1.1472630016385584e-05,8.487183305945413e-06,1.1446147540593002e-05,18767,7402,58949,10537
58850,5.723050156811574e-05,9.183250275707048e-08,1.8496944796072142e-07,1.131914499190967e-05,16812,21576,77948,10641
23841,3.433830094086944e-05,1.1446231328335146e-05,4.836070326587461e-08,1.126172527451882e-05,22562,7922,80442,10690
63641,5.723050156811574e-05,1.4287948949191734e-07,3.782253977928751e-07,1.117790919114362e-05,16821,19948,75617,10768
199392,0.000309044708467825,2.3514639689179725e-08,0.0020555781375934676,1.1143574675716995e-05,7680,26509,7350,10790
58593,6.867660188173888e-05,4.520386826001692e-06,3.87844150279034e-05,1.0972968456525614e-05,15427,10220,42194,10923
17429,4.578440125449259e-05,1.964870810184937e-07,1.212712955782629e-07,1.092983723382642e-05,18785,18860,78768,10957
45110,6.867660188173888e-05,9.472652948342519e-05,2.939438812643037e-05,1.0920083887404488e-05,15432,2260,46647,10963
199932,0.0002632603072133324,4.105665137107122e-05,0.001531168165117535,1.0691787190829924e-05,8359,3495,8567,11163
209294,0.00022892200627246296,4.741059337071325e-07,0.0010533950154557952,1.044413563957702e-05,8945,16083,9760,11382
146834,0.0002403681065860861,1.2395329253798674e-08,0.0019524938229315398,1.0419785979448356e-05,8747,28936,7568,11407
153057,6.867660188173888e-05,4.63573112542951e-06,5.722298707618439e-05,1.0408894814379381e-05,15469,10158,35684,11419
207303,0.00022892200627246296,3.420808653309893e-06,0.0007623263922572999,1.0385960744589053e-05,8950,10697,10717,11453
9394,4.578440125449259e-05,2.2460453921884403e-05,1.7570408189145122e-05,1.0381019849139508e-05,18816,5144,51660,11460
23844,4.578440125449259e-05,1.3495596129284634e-07,8.985959090215254e-08,1.0380302042653659e-05,18817,20147,79482,11462
9812,4.578440125449259e-05,8.219686910275355e-08,1.1458156265496673e-07,1.0356203234400631e-05,18820,21927,78918,11483
55992,8.012270219536204e-05,9.473370349335635e-06,0.0001093943106417964,1.0318450295421429e-05,14358,8953,25834,11515
202782,0.00027470640752695554,4.768710988263728e-07,0.0017603429423867585,1.0212717851575462e-05,8197,16071,8039,11613
140633,0.00022892200627246296,6.610823145325947e-11,0.001904943294054528,1.0179509190816307e-05,8962,38293,7665,11644
37969,4.578440125449259e-05,2.586357466032598e-06,8.326446877568463e-06,1.0069180180704857e-05,18830,11282,59101,11740
133512,4.578440125449259e-05,3.6839651287736323e-07,5.271997039664755e-08,1.0052073288062549e-05,18834,16888,80251,11760
17962,4.578440125449259e-05,1.6347677434104984e-06,9.357814374897001e-07,9.968664400176174e-06,18846,12376,73068,11877
134773,5.723050156811574e-05,2.238979874467337e-05,2.766522880689722e-05,9.912300721833729e-06,16890,5154,47420,11934
214955,0.0001716915047043472,2.6555459474855207e-06,0.00018060734982659464,9.84788440790249e-06,10270,11231,18381,12002
59045,0.00018313760501797037,0.00027247555718043406,0.0015475372194966215,9.823031569894472e-06,9977,1466,8529,12036
139216,0.00018313760501797037,1.3208548764180524e-06,0.0007071461535827409,9.768384616255806e-06,9982,13034,10965,12093
24357,3.433830094086944e-05,1.1446231328335146e-05,4.9759295579187915e-06,9.665861426487098e-06,22665,7953,63939,12224
24364,3.433830094086944e-05,1.1446231328335146e-05,4.9759295579187915e-06,9.665861426487098e-06,22666,7954,63940,12225
205008,0.00019458370533159352,3.9714443664931266e-07,0.0007374439908975021,9.626370471169205e-06,9722,16636,10801,12269
212164,0.0002632603072133324,4.75147738810915e-09,0.0016206983395239865,9.576347688238117e-06,8389,32124,8370,12321
140726,5.723050156811574e-05,7.00272971588214e-06,9.079106216678676e-06,9.482989780339462e-06,16934,9430,58150,12433
135426,0.0002174759059588398,6.701280836648442e-09,0.001846741426404205,9.444494153659411e-06,9225,31030,7818,12480
63646,4.578440125449259e-05,6.224305688187763e-08,1.2533559031533668e-07,9.389822513061954e-06,18891,22860,78701,12552
9308,4.578440125449259e-05,3.513779035948291e-08,3.929071386392426e-07,9.382890395329356e-06,18892,24829,75559,12561
59074,4.578440125449259e-05,4.3344146985561975e-06,8.309158869391019e-06,9.355230776873544e-06,18897,10291,59113,12585
38381,4.578440125449259e-05,3.73309456764443e-08,1.7964858094577834e-07,9.3490356834694e-06,18899,24614,77997,12592
38375,4.578440125449259e-05,3.73309456764443e-08,1.7964858094577834e-07,9.3490356834694e-06,18900,24615,77998,12593
135432,4.578440125449259e-05,3.73309456764443e-08,1.7964858094577834e-07,9.3490356834694e-06,18901,24616,77999,12594
56013,4.578440125449259e-05,3.73309456764443e-08,1.7964858094577834e-07,9.3490356834694e-06,18902,24617,78000,12595
137746,4.578440125449259e-05,3.73309456764443e-08,1.7964858094577834e-07,9.3490356834694e-06,18903,24618,78001,12596
131578,4.578440125449259e-05,1.4132958449291624e-05,5.030501118647471e-06,9.33205965801064e-06,18909,6086,63837,12620
153726,8.012270219536204e-05,1.1599007247190465e-05,4.8898587259454734e-05,9.27368784356124e-06,14439,7039,38902,12689
37965,4.578440125449259e-05,5.1587048022546256e-08,1.1313560005660351e-07,9.186906909670102e-06,18930,23463,78937,12790
24489,8.012270219536204e-05,7.173009015850672e-06,8.798208832491704e-06,9.132043304285888e-06,14446,9388,58534,12868
200959,0.00022892200627246296,2.8735697350361487e-08,0.0015651259827830011,8.996738204519729e-06,9015,25705,8485,13047
138950,4.578440125449259e-05,1.2177593653908147e-05,1.7359797908131437e-05,8.913114322010145e-06,18974,6593,51741,13155
24547,3.433830094086944e-05,1.1446231328335146e-05,2.4377545421916295e-07,8.877625042310828e-06,22724,7988,77124,13207
58540,3.433830094086944e-05,1.1479722474709835e-05,1.7357982376683737e-05,8.817659331244682e-06,22732,7346,51748,13291
24363,3.433830094086944e-05,5.723115664167573e-06,4.975946931978396e-06,8.803804465306976e-06,22734,9777,63938,13317
18118,3.433830094086944e-05,1.1513197146507525e-07,5.396787381640687e-08,8.797617427369132e-06,22736,20732,80208,13330
210426,0.0002403681065860861,6.00011832377608e-10,0.0015381593443690483,8.793685083742162e-06,8811,36569,8556,13342
