asn,category,tags
132413,Content/CDN,"Law, Business, and Consulting Services|Computer and Information Technology|Service|Hosting and Cloud Provider"
132414,Content/CDN,Anycast|Hosting and Cloud Provider|Computer and Information Technology|Service
132415,Other,Search|Computer and Information Technology
132417,ISP,Software Development|Internet Service Provider (ISP)|Phone Provider|Computer and Information Technology
132420,ISP,"Tranco 10k Host|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology|Law, Business, and Consulting Services"
132423,Academic/Edu,Validating RPKI ROV|Not Validating RPKI ROV|Academic|Education and Research
132428,Other,Health Care Services|Software Development|Computer and Information Technology
132440,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers"
132441,Other,Other
132445,ISP,Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
132453,ISP,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
132460,Unknown,
132461,Other,Manufacturing|Machinery
132463,Other,Other
132470,ISP,"Media, Publishing, and Broadcasting|Computer and Information Technology|Radio and Television Providers|Internet Service Provider (ISP)"
132477,Other,Other
132485,Content/CDN,"Computer and Information Technology|Banks, Credit Card Companies, Mortgage Providers|Finance and Insurance|Investment, Portfolio Management, Pensions and Funds"
132497,ISP,Eyeball|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
132506,Other,"Retail Stores, Wholesale, and E-commerce Sites"
132507,Other,"Not Validating RPKI ROV|Retail Stores, Wholesale, and E-commerce Sites"
132515,ISP,Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
132516,Other,"Not Validating RPKI ROV|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology"
132517,Other,"Media, Publishing, and Broadcasting|Print Media (Newspapers, Magazines, Books)|Radio and Television Providers"
132518,ISP,Computer and Information Technology|Internet Service Provider (ISP)
132519,ISP,"Retail Stores, Wholesale, and E-commerce Sites|Not Validating RPKI ROV|Media, Publishing, and Broadcasting|Internet Service Provider (ISP)"
132520,ISP,Computer and Information Technology|Software Development|Internet Service Provider (ISP)
132521,Other,"Online Music and Video Streaming Services|Media, Publishing, and Broadcasting|Radio and Television Providers"
132522,ISP,Internet Service Provider (ISP)|Computer and Information Technology
