asn,category,tags
204973,Academic/Edu,"Computer and Information Technology|Law, Business, and Consulting Services|Education and Research|Service"
57518,Enterprise,"Service|Law, Business, and Consulting Services"
204976,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider
24753,ISP,Computer and Information Technology|Not Validating RPKI ROV|Internet Service Provider (ISP)
204982,Academic/Edu,IPv6 only|Personal ASN|Education and Research
57527,ISP,Computer and Information Technology|Internet Service Provider (ISP)
204983,Content/CDN,Elementary and Secondary Schools|Education and Research|Server Hosting
41153,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Validating RPKI ROV
213192,Content/CDN,Computer and Information Technology|Hosting and Cloud Provider
24785,ISP,Carrier|Computer and Information Technology|Internet Service Provider (ISP)
213208,ISP,Internet Service Provider (ISP)|Software Development|Computer and Information Technology
205019,ISP,Computer and Information Technology|Validating RPKI ROV|Internet Service Provider (ISP)|Software Development
205024,Enterprise,"Computer and Information Technology|Law, Business, and Consulting Services|Service"
41193,ISP,Computer and Information Technology|Internet Service Provider (ISP)
213233,Other,"Media, Publishing, and Broadcasting|Music and Video Industry"
49405,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Software Development
8455,ISP,Carrier|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
41227,Other,Computer and Information Technology
57617,Other,"Investment, Portfolio Management, Pensions and Funds|Finance and Insurance"
205077,Other,Computer and Information Technology
205079,Eyeball,"Eyeball|IPv6 only|Personal ASN|Agriculture, Mining, and Refineries (Farming, Greenhouses, Mining, Forestry, and Animal Farming)"
41241,ISP,Computer and Information Technology|Internet Service Provider (ISP)
57626,ISP,Health Care Services|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
213279,ISP,Personal ASN|Internet Service Provider (ISP)|Software Development|Government and Public Administration
8483,ISP,Internet Service Provider (ISP)|Computer and Information Technology
57638,ISP,Computer and Network Security|Internet Service Provider (ISP)|Computer and Information Technology
24875,ISP,Carrier|Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
213291,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Software Development
49453,ISP,Eyeball|Not Validating RPKI ROV|Hosting and Cloud Provider|Computer and Information Technology
205111,Content/CDN,Corporate/Enterprise|Computer and Network Security|Service|Computer and Information Technology
49471,Enterprise,"Service|Law, Business, and Consulting Services"
213324,Government,"Government and Regulatory Agencies, Administrations, Departments, and Services|Government and Public Administration"
57685,ISP,Computer and Information Technology|Internet Service Provider (ISP)
213333,ISP,"Retail Stores, Wholesale, and E-commerce Sites|Hosting, Cloud Provider, Data Center, Server Colocation|Computer and Information Technology|Internet Service Provider (ISP)"
393559,ISP,Mobile Data/Carrier|Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
49500,ISP,Computer and Information Technology|Internet Service Provider (ISP)
213346,Academic/Edu,Education and Research|Personal ASN
49509,Other,"Online Informational Content|Media, Publishing, and Broadcasting"
213350,ISP,Internet Service Provider (ISP)|Computer and Information Technology
213351,ISP,Internet Service Provider (ISP)|Computer and Information Technology
213352,ISP,Internet Service Provider (ISP)|Computer and Information Technology
24938,Content/CDN,VPN Host|Computer and Information Technology|Hosting and Cloud Provider
57706,ISP,"Internet Service Provider (ISP)|Computer and Information Technology|Hosting, Cloud Provider, Data Center, Server Colocation|Media, Publishing, and Broadcasting"
57717,Content/CDN,Server Hosting|Validating RPKI ROV|Computer and Information Technology|Tor services
213374,Other,Software Development|Computer and Information Technology
205185,ISP,Carrier|Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
8582,ISP,Computer and Information Technology|Validating RPKI ROV|Internet Service Provider (ISP)
49544,ISP,Content|Not Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
197000,ISP,Internet Critical Infra|Computer and Information Technology|Community Groups and Nonprofits|Internet Service Provider (ISP)
8587,ISP,Internet Service Provider (ISP)|Validating RPKI ROV|Computer and Information Technology
57744,Government,"Service|Government and Public Administration|Law Enforcement, Public Safety, and Justice|Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
197016,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Government
213401,Enterprise,"Retail Stores, Wholesale, and E-commerce Sites|Law, Business, and Consulting Services|Service"
49562,ISP,Internet Service Provider (ISP)|Computer and Information Technology
57758,ISP,Content|Computer and Information Technology|Internet Service Provider (ISP)|Server Hosting
8608,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
57771,Other,"Community Groups and Nonprofits|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
213427,Enterprise,Computer and Information Technology|Corporate/Enterprise|Content
205247,Other,Computer and Information Technology
57795,ISP,Internet Service Provider (ISP)|Validating RPKI ROV|Computer and Information Technology
25049,Other,Service
49627,ISP,Internet Service Provider (ISP)|Computer and Information Technology
41436,Content/CDN,VPN Host|Validating RPKI ROV|Computer and Information Technology|Hosting and Cloud Provider
41441,ISP,"Internet Service Provider (ISP)|Hosting and Cloud Provider|Computer and Information Technology|Hosting, Cloud Provider, Data Center, Server Colocation"
41445,ISP,Internet Service Provider (ISP)|Computer and Information Technology
57845,Enterprise,"Service|Law, Business, and Consulting Services"
8694,Other,"Validating RPKI ROV|Passenger Transit (Car, Bus, Taxi, Subway)|Freight, Shipment, and Postal Services"
205307,ISP,Internet Service Provider (ISP)|Computer and Information Technology
213504,ISP,Internet Service Provider (ISP)|Computer and Information Technology
205316,Other,Computer and Information Technology
213511,ISP,Computer and Information Technology|Internet Service Provider (ISP)
41480,ISP,Content|Computer and Information Technology|Internet Service Provider (ISP)|Server Hosting
57866,ISP,Carrier|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
197132,ISP,Insurance Carriers and Agencies|Finance and Insurance|Health Care Services
49685,ISP,Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
213532,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Hosting and Cloud Provider|Phone Provider
213536,Other,Community Groups and Nonprofits
8737,ISP,Eyeball|Validating RPKI ROV|Internet Service Provider (ISP)|Phone Provider
197156,ISP,Internet Service Provider (ISP)|Not Validating RPKI ROV|Computer and Information Technology
213542,Unknown,
49713,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology
41529,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology
25151,ISP,VPN Host|Hosting and Cloud Provider|Internet Service Provider (ISP)|Computer and Information Technology
8768,ISP,Computer and Network Security|Computer and Information Technology|Internet Service Provider (ISP)
25152,Government,"Anycast|Government and Public Administration|Community Groups and Nonprofits|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)"
213567,Content/CDN,"Computer and Information Technology|Manufacturing|Electronics and Computer Components|Hosting, Cloud Provider, Data Center, Server Colocation"
213577,Other,"Freight, Shipment, and Postal Services"
57935,Other,"Retail Stores, Wholesale, and E-commerce Sites|Not Validating RPKI ROV"
41552,Other,"Community Groups and Nonprofits|Human Rights and Social Advocacy (Human Rights, Environment and Wildlife Conservation, Other)|Content"
25181,Other,Manufacturing|Not Validating RPKI ROV|Online Music and Video Streaming Services|Electronics and Computer Components
25182,ISP,Content|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
205406,Content/CDN,"Online Informational Content|Media, Publishing, and Broadcasting|Computer and Information Technology|Hosting and Cloud Provider"
197219,Academic/Edu,"Computer and Information Technology|Education and Research|Colleges, Universities, and Professional Schools|Software Development"
213619,ISP,Internet Service Provider (ISP)|Computer and Information Technology
49784,ISP,Eyeball|Not Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
25222,ISP,Computer and Information Technology|Validating RPKI ROV|Internet Service Provider (ISP)|Satellite Communication
205448,Other,"Freight, Shipment, and Postal Services"
49812,ISP,Computer and Information Technology|Internet Service Provider (ISP)
205467,ISP,VPN Host|Validating RPKI ROV|Computer and Information Technology|Internet Service Provider (ISP)
49820,ISP,"Media, Publishing, and Broadcasting|Computer and Information Technology|Online Informational Content|Internet Service Provider (ISP)"
213672,ISP,Internet Service Provider (ISP)|Computer and Information Technology
49838,Other,"Software Development|Retail Stores, Wholesale, and E-commerce Sites|Computer and Information Technology"
205491,Other,Computer and Information Technology
49846,ISP,Service|Computer and Network Security|Computer and Information Technology|Software Development
197302,Other,Construction and Real Estate
213687,Academic/Edu,Computer and Information Technology|Education and Research
213695,Enterprise,"Health Care Services|Service|Law, Business, and Consulting Services"
205508,Other,Finance and Insurance
25288,Content/CDN,"Computer and Information Technology|Retail Stores, Wholesale, and E-commerce Sites|Hosting and Cloud Provider"
41677,ISP,Computer and Network Security|Internet Service Provider (ISP)|Computer and Information Technology
49870,ISP,Carrier|Hosting and Cloud Provider|Computer and Information Technology|Internet Service Provider (ISP)
213713,ISP,Computer and Information Technology|Internet Service Provider (ISP)
205524,Other,Computer and Information Technology|Software Development
58073,ISP,Home ISP|Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
58075,ISP,"Eyeball|Validating RPKI ROV|Media, Publishing, and Broadcasting|Computer and Information Technology"
41693,Other,"Online Informational Content|Media, Publishing, and Broadcasting"
41696,ISP,Validating RPKI ROV|Internet Service Provider (ISP)|Computer and Information Technology
205538,ISP,Computer and Information Technology|Internet Service Provider (ISP)
58083,ISP,Computer and Information Technology|Internet Service Provider (ISP)|Government
8935,Other,Validating RPKI ROV|Service
58089,Academic/Edu,Education and Research
213753,Other,Software Development|Real Estate (Residential and/or Commercial)|Construction and Real Estate|Computer and Information Technology
8954,ISP,Internet Service Provider (ISP)|Computer and Information Technology
41725,Other,Computer and Information Technology|Technology Consulting Services
49917,ISP,Computer and Information Technology|Internet Service Provider (ISP)
213773,Other,"Finance and Insurance|Banks, Credit Card Companies, Mortgage Providers"
197395,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology
213784,ISP,Computer and Information Technology|Internet Service Provider (ISP)
58138,ISP,Internet Service Provider (ISP)|Computer and Information Technology
213788,Other,"Community Groups and Nonprofits|Service|Personal Care and Lifestyle (Barber Shops, Nail Salons, Diet Centers, Laundry, etc)"
58141,ISP,Computer and Information Technology|Internet Service Provider (ISP)
25377,ISP,Software Development|Internet Service Provider (ISP)|Computer and Information Technology|Government
205617,ISP,Internet Service Provider (ISP)|Computer and Information Technology|Validating RPKI ROV
9017,Academic/Edu,Education and Research|Personal ASN
213817,Unknown,
213819,Unknown,
213820,Unknown,
49981,ISP,Content|Not Validating RPKI ROV|Internet Service Provider (ISP)|Hosting and Cloud Provider
213821,Unknown,
205631,Content/CDN,Hosting and Cloud Provider|Computer and Information Technology|VPN Host
213822,Content/CDN,"Computer and Information Technology|Hosting, Cloud Provider, Data Center, Server Colocation"
213823,Unknown,
205637,Government,"Government and Public Administration|Government and Regulatory Agencies, Administrations, Departments, and Services|Government"
25413,Other,Service
